@RELATION Iris_splits

@ATTRIBUTE type {TRAIN,TEST}
@ATTRIBUTE rowid STRING
@ATTRIBUTE fold NUMERIC
@ATTRIBUTE repeat NUMERIC

@DATA
TRAIN,140,10,1
TRAIN,123,10,1
TRAIN,110,10,1
TRAIN,137,10,1
TRAIN,104,10,1
TRAIN,18,10,1
TRAIN,29,10,1
TRAIN,40,10,1
TRAIN,16,10,1
TRAIN,30,10,1
TRAIN,71,10,1
TRAIN,86,10,1
TRAIN,69,10,1
TRAIN,73,10,1
TRAIN,83,10,1
TRAIN,145,10,1
TRAIN,118,10,1
TRAIN,144,10,1
TRAIN,117,10,1
TRAIN,147,10,1
TRAIN,1,10,1
TRAIN,48,10,1
TRAIN,3,10,1
TRAIN,41,10,1
TRAIN,49,10,1
TRAIN,58,10,1
TRAIN,88,10,1
TRAIN,57,10,1
TRAIN,84,10,1
TRAIN,94,10,1
TRAIN,105,10,1
TRAIN,107,10,1
TRAIN,139,10,1
TRAIN,103,10,1
TRAIN,131,10,1
TRAIN,25,10,1
TRAIN,9,10,1
TRAIN,5,10,1
TRAIN,7,10,1
TRAIN,26,10,1
TRAIN,51,10,1
TRAIN,96,10,1
TRAIN,95,10,1
TRAIN,54,10,1
TRAIN,64,10,1
TRAIN,132,10,1
TRAIN,127,10,1
TRAIN,108,10,1
TRAIN,130,10,1
TRAIN,141,10,1
TRAIN,37,10,1
TRAIN,8,10,1
TRAIN,22,10,1
TRAIN,21,10,1
TRAIN,11,10,1
TRAIN,53,10,1
TRAIN,63,10,1
TRAIN,79,10,1
TRAIN,91,10,1
TRAIN,50,10,1
TRAIN,143,10,1
TRAIN,120,10,1
TRAIN,129,10,1
TRAIN,100,10,1
TRAIN,124,10,1
TRAIN,31,10,1
TRAIN,12,10,1
TRAIN,45,10,1
TRAIN,27,10,1
TRAIN,36,10,1
TRAIN,87,10,1
TRAIN,59,10,1
TRAIN,77,10,1
TRAIN,81,10,1
TRAIN,74,10,1
TRAIN,126,10,1
