@RELATION openml_run2089254_trace

@ATTRIBUTE repeat NUMERIC
@ATTRIBUTE fold NUMERIC
@ATTRIBUTE iteration NUMERIC
@ATTRIBUTE evaluation NUMERIC
@ATTRIBUTE selected {true, false}
@ATTRIBUTE parameter_bootstrap {True, False}
@ATTRIBUTE parameter_criterion {gini, entropy}
@ATTRIBUTE parameter_min_samples_leaf NUMERIC
@ATTRIBUTE parameter_max_features NUMERIC
@ATTRIBUTE parameter_min_samples_split NUMERIC

@DATA
0,0,0,0.694895591647,false,False,gini,16,0.05,19
0,0,1,0.764501160093,false,True,entropy,13,0.4,7
0,0,2,0.799303944316,false,False,entropy,13,0.6,4
0,0,3,0.815545243619,false,False,gini,14,0.75,10
0,0,4,0.831786542923,false,False,entropy,10,0.65,20
0,0,5,0.778422273782,false,False,gini,1,0.05,14
0,0,6,0.726218097448,false,True,entropy,14,0.25,15
0,0,7,0.931554524362,true,False,entropy,2,0.9,2
0,0,8,0.777262180974,false,True,gini,16,0.7,14
0,0,9,0.81090487239,false,False,entropy,7,0.4,8
0,1,0,0.839907192575,false,True,entropy,5,0.6,11
0,1,1,0.751740139211,false,True,entropy,16,0.45,8
0,1,2,0.837587006961,false,True,entropy,9,1.0,12
0,1,3,0.880510440835,false,True,gini,1,1.0,13
0,1,4,0.759860788863,false,True,entropy,15,0.6,4
0,1,5,0.676334106729,false,False,entropy,18,0.05,3
0,1,6,0.865429234339,false,False,entropy,5,0.55,4
0,1,7,0.766821345708,false,True,entropy,2,0.25,16
0,1,8,0.823665893271,false,False,entropy,15,0.95,14
0,1,9,0.893271461717,true,False,entropy,4,0.85,15
0,2,0,0.661252900232,false,False,entropy,20,0.05,11
0,2,1,0.80162412993,false,False,entropy,14,0.6,15
0,2,2,0.708816705336,false,False,gini,9,0.15,3
0,2,3,0.798143851508,false,False,gini,19,0.7,17
0,2,4,0.713457076566,false,True,entropy,4,0.1,15
0,2,5,0.700696055684,false,True,entropy,19,0.25,9
0,2,6,0.835266821346,false,True,entropy,6,0.95,4
0,2,7,0.89211136891,true,False,entropy,7,1.0,5
0,2,8,0.748259860789,false,True,entropy,13,0.5,10
0,2,9,0.813225058005,false,False,gini,13,0.45,4
0,3,0,0.829466357309,false,False,gini,8,0.5,10
